Dataset:      Vertical 3He, Q2=0.1
Runs:   20487-20511
Run # TotUp   TotDwn B1Up B1Dn Bin2Up Bin2Dn Bin3Up Bin3Dn B4Up   B4Dn   TotCh       TotT2   TotTrg  TgtChUp     T2Up    TrgUp   TgtChDwn    T2Dwn   TrgDwn  BmChUp      BmT2Up  BmTrgUp BmChDwn     BmT2Dwn BmTrgDn t1_scalar  t1cUpTot  t1c0Tot t1cDownTot  ugChUpTot ugCh0Tot ugChDnTot ugChUpIn ugCh0In ugChDnIn
20487 1033556 985034 4862 4608 241570 229531 504600 481543 282524 269352 6.47673e+07 4290919 4291156 3.26106e+07 2195203 2195326 3.11345e+07 2091659 2091773 3.18736e+07 2122033 2122159 3.18715e+07 2121086 2121196 3.0328e+07 1.55048e+07 28392 1.47948e+07 3.31026e+07 60478 3.16042e+07 0 3.31026e+07 3.31631e+07
20488 1440386 564630 6729 2584 336619 131307 703392 276815 393646 153923 6.46466e+07 4269660 4269883 4.57159e+07 3059460 3059621 1.78171e+07 1199869 1199931 3.1768e+07 2111071 2111178 3.1765e+07 2111257 2111369 3.02864e+07 2.17336e+07 73103 8.47967e+06 4.64067e+07 154878 1.8085e+07 4.26584e+06 5.06726e+07 5.0749e+07
20489 1318799 696241 6193 3244 307926 162998 644532 339399 360147 190600 6.46827e+07 4286222 4286466 4.17062e+07 2803495 2803657 2.19375e+07 1477498 1477580 3.18222e+07 2118801 2118914 3.18216e+07 2119967 2120096 3.03103e+07 1.98339e+07 37361 1.0439e+07 4.23359e+07 79514 2.22673e+07 2.23468e+07 2.22673e+07 0
20490 816236 1184496 3837 5584 190218 276893 399309 578832 222872 323187 6.45428e+07 4253777 4281666 2.60937e+07 1734270 1745668 3.74024e+07 2513594 2530041 3.17498e+07 2103366 2117082 3.17464e+07 2103349 2117224 3.01479e+07 1.23143e+07 41736 1.77918e+07 2.64874e+07 89080 3.79663e+07 3.57575e+07 6.22449e+07 6.22558e+07
20491 799770 1205037 3762 5742 186679 281649 389913 588210 219416 329436 6.43344e+07 4257539 4285348 2.53362e+07 1697435 1708452 3.79665e+07 2554996 2571748 3.16515e+07 2105540 2119257 3.16511e+07 2104824 2118610 3.01559e+07 1.20424e+07 36137 1.80774e+07 2.57193e+07 77034 3.85381e+07 3.86151e+07 3.85381e+07 0
20492 957930 1046781 4486 4998 222937 244690 468390 510216 262117 286877 6.44749e+07 4256494 4284264 3.03402e+07 2034200 2047477 3.30983e+07 2217135 2231589 3.17207e+07 2104165 2117949 3.17179e+07 2104859 2118537 3.01654e+07 1.44212e+07 36460 1.57078e+07 3.07936e+07 78353 3.36029e+07 4.51168e+07 4.50385e+07 1.14355e+07
20493 1462912 533244 6962 2463 341756 125067 714546 260340 399648 145374 6.46889e+07 4246202 4274089 4.62841e+07 3102631 3122931 1.72874e+07 1133086 1140600 3.17876e+07 2099434 2113203 3.17839e+07 2099715 2113531 3.01605e+07 2.19893e+07 75027 8.09612e+06 4.69821e+07 160110 1.75466e+07 3.91139e+07 3.9033e+07 2.14863e+07
20494 641012 1363085 3106 6359 150144 317715 312567 666096 175194 372914 6.44406e+07 4262742 4290556 2.02806e+07 1360149 1369046 4.30487e+07 2892253 2911100 3.16624e+07 2107798 2121517 3.1667e+07 2107825 2121580 3.01845e+07 9.62747e+06 72948 2.04841e+07 2.05867e+07 156245 4.36976e+07 5.55041e+07 5.54258e+07 1.17282e+07
20498 1010402 995280 4713 4698 235528 232151 493786 486373 276375 272058 6.44662e+07 4255396 4283153 3.2012e+07 2142955 2156919 3.14182e+07 2107275 2121031 3.17147e+07 2104289 2118003 3.17155e+07 2103850 2117597 3.01178e+07 1.51799e+07 36439 1.49015e+07 3.2496e+07 78753 3.18914e+07 3.19702e+07 3.18914e+07 0
20499 524133 1475136 2425 6914 121984 344076 255687 719881 144037 404264 6.4454e+07 4252318 4280016 1.66146e+07 1110514 1117836 4.67266e+07 3131398 3151701 3.16706e+07 2102671 2116411 3.16706e+07 2102346 2116037 3.01318e+07 7.86561e+06 73576 2.21926e+07 1.6865e+07 157757 4.74313e+07 5.36063e+07 5.35276e+07 6.0963e+06
20500 814406 1188671 3792 5430 190261 277584 398088 580392 222265 325265 6.44605e+07 4257654 4285388 2.57682e+07 1727369 1738597 3.76582e+07 2525166 2541639 3.17126e+07 2105823 2119610 3.17138e+07 2104528 2118164 3.01192e+07 1.22118e+07 36171 1.78712e+07 2.61565e+07 77568 3.82265e+07 0 2.61565e+07 2.6234e+07
20501 1427305 514508 6672 2307 333117 119713 697437 251205 390078 141283 6.44351e+07 4132281 4159192 4.6308e+07 3029815 3049615 1.70154e+07 1092122 1099167 3.16631e+07 2043627 2056928 3.16604e+07 2042813 2056130 3.01074e+07 2.19547e+07 72977 8.07973e+06 4.70084e+07 155351 1.72714e+07 1.35415e+06 4.83625e+07 4.84398e+07
20502 1117187 885307 5284 4127 261361 207072 544968 431229 305574 242879 6.4514e+07 4254670 4282458 3.53567e+07 2366454 2381954 2.80421e+07 1877683 1889908 3.17034e+07 2104669 2118361 3.16954e+07 2103018 2116810 3.00962e+07 1.6727e+07 74352 1.32948e+07 3.58905e+07 158346 2.84652e+07 2.11125e+07 5.7003e+07 5.70818e+07
20503 879830 1123893 4137 5217 204827 262266 430364 548761 240501 307649 6.46443e+07 4252743 4280548 2.80239e+07 1866964 1879183 3.5618e+07 2382952 2398519 3.18214e+07 2102591 2116264 3.18205e+07 2103047 2116885 3.00809e+07 1.32171e+07 19503 1.68443e+07 2.84471e+07 41840 3.61553e+07 2.61724e+07 5.46195e+07 5.46257e+07
20504 1030904 972324 4817 4496 240793 227081 503122 474853 282171 265894 6.45543e+07 4254480 4282245 3.2742e+07 2188209 2202468 3.07742e+07 2061004 2074480 3.17594e+07 2104130 2117919 3.17567e+07 2103368 2117052 3.00919e+07 1.54705e+07 37469 1.45839e+07 3.32351e+07 80592 3.12386e+07 0 3.32351e+07 3.33157e+07
20505 858648 1060957 3873 4847 200137 247591 420641 517948 233997 290571 6.44686e+07 4079463 4105937 2.7822e+07 1822028 1833820 3.56124e+07 2252355 2267007 3.17172e+07 2017049 2030166 3.17172e+07 2016984 2030057 3.00973e+07 1.31747e+07 35905 1.68866e+07 2.82418e+07 77397 3.61494e+07 0 2.82418e+07 2.83192e+07
