Dataset:      Vertical 3He, Q2=0.5
Runs:   20890-21006
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20890 172 1038 619 4920 5165 44495 4744 40221 27.355999999999995 27.355999999999995 699.99999999999989
20891 0 201 0 786 0 6729 0 6096 27.355999999999995 27.355999999999995 699.99999999999989
20893 1449 0 5802 0 49743 0 45399 0 27.355999999999995 27.355999999999995 699.99999999999989
20894 280 899 1105 3752 9525 32630 8579 29645 27.355999999999995 27.355999999999995 699.99999999999989
20895 3428 4240 10496 14965 80647 122116 73472 111833 27.355999999999995 27.355999999999995 699.99999999999989
20896 1084 0 3478 0 27285 0 24955 0 27.355999999999995 27.355999999999995 699.99999999999989
20899 0 354 0 1092 0 8315 0 7788 27.355999999999995 27.355999999999995 699.99999999999989
20900 0 8 0 22 0 209 0 209 27.355999999999995 27.355999999999995 699.99999999999989
20901 2729 3686 8390 12317 64415 98057 58999 90568 27.355999999999995 27.355999999999995 699.99999999999989
20902 3971 3729 12884 12870 100759 104028 93419 95448 27.355999999999995 27.355999999999995 699.99999999999989
20916 0 3080 0 10325 0 82332 0 75702 27.355999999999995 27.355999999999995 699.99999999999989
20917 0 2762 0 10058 0 82804 0 75980 27.355999999999995 27.355999999999995 699.99999999999989
20918 0 2603 0 8546 0 67210 0 62202 27.355999999999995 27.355999999999995 699.99999999999989
20919 0 671 0 2516 0 21233 0 19100 27.355999999999995 27.355999999999995 699.99999999999989
20920 0 7330 0 25522 0 207240 0 189220 27.355999999999995 27.355999999999995 699.99999999999989
20921 0 3403 0 11608 0 92854 0 86134 27.355999999999995 27.355999999999995 699.99999999999989
20922 4729 3315 13735 12324 102596 102612 94487 94015 27.355999999999995 27.355999999999995 699.99999999999989
20923 442 0 1285 0 9551 0 8920 0 27.355999999999995 27.355999999999995 699.99999999999989
20924 4139 3620 13031 12722 100774 103074 93000 95620 27.355999999999995 27.355999999999995 699.99999999999989
20925 4666 3623 14257 12032 109132 96024 100295 87612 27.355999999999995 27.355999999999995 699.99999999999989
20926 4693 3866 13846 12728 104311 101499 95288 92374 27.355999999999995 27.355999999999995 699.99999999999989
20927 3519 3091 10869 10276 83839 81565 76825 75404 27.355999999999995 27.355999999999995 699.99999999999989
20928 4104 4096 12528 13852 95636 111249 87877 101828 27.355999999999995 27.355999999999995 699.99999999999989
20931 5739 2221 18129 7687 141047 62227 128867 56949 27.355999999999995 27.355999999999995 699.99999999999989
20938 4635 1244 14094 4250 107285 33791 99564 31661 27.355999999999995 27.355999999999995 699.99999999999989
20949 0 0 0 0 0 0 0 0 27.355999999999995 27.355999999999995 699.99999999999989
20961 6399 4099 17352 13519 124725 107138 114335 98509 27.355999999999995 27.355999999999995 699.99999999999989
20962 6471 3787 17931 12670 130015 100545 119359 92662 27.355999999999995 27.355999999999995 699.99999999999989
20963 3693 6681 10875 19719 81874 148151 75585 136175 27.355999999999995 27.355999999999995 699.99999999999989
20964 5367 3973 16119 13558 122216 109212 112352 100289 27.355999999999995 27.355999999999995 699.99999999999989
