# Date/Time = Tue Aug  23 11:00:00 2005
==== Crate 3 type fastbus
# slot  model   clear   header  mask    nchan   ndata
  3     1877    1       0x0     0x0     96      672
  4     1877    1       0x0     0x0     96      672
  5     1877    1       0x0     0x0     96      672
  6     1877    1       0x0     0x0     96      672
  7     1877    1       0x0     0x0     96      672
  8     1877    1       0x0     0x0     96      672
  9     1877    1       0x0     0x0     96      672
  10    1877    1       0x0     0x0     96      672
  11    1877    1       0x0     0x0     96      672
  16    1877    1       0x0     0x0     96      672
  17    1877    1       0x0     0x0     96      672
  18    1877    1       0x0     0x0     96      672
  19    1877    1       0x0     0x0     96      672
  20    1877    1       0x0     0x0     96      672
  21    1877    1       0x0     0x0     96      672
  22    1877    1       0x0     0x0     96      672
  23    1881    1       0x0     0x0     64      64
  24    1881    1       0x0     0x0     64      64
  25    1881    1       0x0     0x0     64      64
==== Crate 4 type fastbus
# slot  model   clear   header  mask    nchan   ndata
  6     1877    1       0x0     0x0     96      672
  7     1877    1       0x0     0x0     96      672
  8     1877    1       0x0     0x0     96      672
  9     1877    1       0x0     0x0     96      672
  10    1877    1       0x0     0x0     96      672
  11    1877    1       0x0     0x0     96      672
  12    1877    1       0x0     0x0     96      672
  13    1877    1       0x0     0x0     96      672
  20    1881    1       0x0     0x0     64      64
  21    1881    1       0x0     0x0     64      64
  25    1875    1       0x0     0x0     64      512
==== Crate 8 type fastbus
# slot	model	clear	header	mask	nchan	ndata
  1     1881    1	0x0	0x0	64	64
  2     1881    1	0x0	0x0	64	64
  3     1881    1	0x0	0x0	64	64	
  4     1881    1	0x0	0x0	64	64	
  5     1881    1	0x0	0x0	64	64	
  6     1881    1	0x0	0x0	64	64	
  7     1881    1	0x0	0x0	64	64	
  16    1877	1	0x0	0x0	96	672
  17    1877	1	0x0	0x0	96	672
==== Crate 9 type fastbus
# slot	model	clear	header	mask	nchan	ndata
  1	1877	1	0x0	0x0	96	672
  2	1877	1	0x0	0x0	96	672
  3	1877	1	0x0	0x0	96	672
  4	1877	1	0x0	0x0	96	672
  5	1877	1	0x0	0x0	96	672
  6	1877	1	0x0	0x0	96	672
  7	1877	1	0x0	0x0	96	672
  8	1877	1	0x0	0x0	96	672
  9	1877	1	0x0	0x0	96	672
  10	1877	1	0x0	0x0	96	672
  14	1877	1	0x0	0x0	96	672
  15	1877	1	0x0	0x0	96	672
  16	1877	1	0x0	0x0	96	672
  17	1877	1	0x0	0x0	96	672
  18	1877	1	0x0	0x0	96	672
  19	1877	1	0x0	0x0	96	672
  20	1877	1	0x0	0x0	96	672
  21	1877	1	0x0	0x0	96	672
  22	1877	1	0x0	0x0	96	672
  23	1877	1	0x0	0x0	96	672
  24	1877	1	0x0	0x0	96	672
  25	1877	1	0x0	0x0	96	672
==== Crate 10 type fastbus
  1	1877	1	0x0	0x0	96	672
  2	1877	1	0x0	0x0	96	672
  3	1877	1	0x0	0x0	96	672
  4	1877	1	0x0	0x0	96	672
  5	1877	1	0x0	0x0	96	672
  6	1877	1	0x0	0x0	96	672
  7	1877	1	0x0	0x0	96	672
  8	1877	1	0x0	0x0	96	672
  9	1877	1	0x0	0x0	96	672
  10	1877	1	0x0	0x0	96	672
  14	1877	1	0x0	0x0	96	672
  15	1877	1	0x0	0x0	96	672
  16	1877	1	0x0	0x0	96	672
  17	1877	1	0x0	0x0	96	672
  18	1877	1	0x0	0x0	96	672
  19	1877	1	0x0	0x0	96	672
  20	1877	1	0x0	0x0	96	672
  21	1877	1	0x0	0x0	96	672
