==== Crate 5 type vme
# slot  model   clear   header  mask    nchan   ndata
  5	6401	1	0x28000000	0xf8000000	64	1024
  6	6401	1	0x30000000	0xf8000000	64	1024
  8	6401	1	0x40000000	0xf8000000	64	1024
  9	6401	1	0x48000000	0xf8000000	64	1024
 11	6401	1	0x58000000	0xf8000000	64	1024
 12	6401	1	0x60000000	0xf8000000	64	1024
 16     792     1       0xda00adc0      0xffffffff      32      2048
 17     792     1       0xda00adc1      0xffffffff      32      2048
 18     792     1       0xda00adc2      0xffffffff      32      2048
 19     792     1       0xda00adc3      0xffffffff      32      2048
